idx,syntax,metric,promql,result
1,1,1,0,0
2,1,1,1,1
3,1,1,1,1
4,1,1,0,0
5,1,1,1,1
6,1,1,0,0
7,1,1,0,0
8,1,0,0,0
9,1,1,1,1
10,1,0,0,0
11,1,0,0,0
12,1,1,1,1
13,1,1,1,1
14,1,1,0,0
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,0,0
19,1,0,0,0
20,1,1,0,0
21,1,1,0,1
22,1,1,0,0
23,1,1,1,1
24,1,1,1,1
25,1,1,1,1
26,1,0,0,0
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,0,0
32,1,1,1,1
33,1,1,0,0
34,1,1,0,0
35,1,1,1,1
36,1,0,0,0
37,1,1,1,1
38,1,0,0,0
39,1,1,1,1
40,1,1,1,1
41,1,1,0,0
42,1,1,0,0
43,0,0,0,0
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,0,0,0
49,0,1,0,0
50,1,1,1,1
51,1,1,0,0
52,1,1,0,0
53,0,0,0,0
54,0,0,0,0
55,1,1,0,0
56,1,1,1,1
57,1,0,0,0
58,1,0,0,0
59,1,0,0,0
60,1,1,1,1
61,1,0,0,0
62,1,1,0,0
63,1,1,0,0
64,1,1,0,0
65,1,1,1,1
66,1,1,0,0
67,1,1,1,1
68,1,1,1,1
69,1,1,0,0
70,1,1,1,1
71,1,1,0,0
72,1,1,0,0
73,1,0,0,0
74,1,1,0,0
75,1,1,0,0
76,1,1,1,1
77,0,1,0,0
78,1,1,1,1
79,1,1,1,1
80,1,1,0,0
81,1,0,0,0
82,1,1,1,1
83,1,1,1,1
84,1,1,1,1
85,1,1,0,0
86,1,1,1,1
87,1,1,0,0
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,0,0
92,1,1,0,0
93,0,1,0,0
94,1,1,0,0
95,1,1,0,0
96,1,1,1,1
97,1,0,0,0
98,1,1,0,0
99,1,0,0,0
100,0,1,0,0
101,1,1,0,0
102,1,1,1,1
103,1,1,0,0
104,1,1,1,1
105,1,1,0,0
106,1,1,1,1
107,1,0,0,0
108,1,1,1,1
109,1,1,1,1
110,1,1,1,1
111,1,1,0,0
112,1,0,0,0
113,1,1,1,1
114,1,1,1,1
115,1,1,0,0
116,1,1,0,0
117,1,0,0,0
118,1,0,0,0
119,1,1,0,0
120,1,1,1,1
121,1,1,1,1
122,0,1,0,0
123,1,0,0,0
124,1,1,1,1
125,1,1,1,1
126,1,1,1,1
127,1,1,0,0
128,1,1,1,1
129,1,1,0,0
130,1,1,1,1
131,0,1,0,0
132,1,1,1,1
133,1,1,1,1
134,1,0,0,0
135,1,0,0,0
136,1,0,0,0
137,0,1,0,0
138,1,0,0,0
139,1,1,1,1
140,1,1,0,0
141,1,1,1,1
142,1,0,0,0
143,1,1,0,0
144,1,1,0,0
145,1,1,0,0
146,1,0,0,0
147,1,1,1,1
148,1,0,0,0
149,1,0,0,0
150,1,1,1,1
151,1,1,1,1
152,1,1,0,0
153,1,1,0,0
154,1,1,1,1
155,1,1,0,0
156,1,1,0,1
157,1,1,0,0
158,1,0,0,0
159,1,1,1,1
160,0,0,0,0
161,0,1,0,0
162,1,0,0,0
163,1,1,1,1
164,1,1,0,0
165,1,0,0,0
166,1,1,1,1
167,1,1,1,1
168,1,1,1,1
169,1,0,0,0
170,1,1,0,0
171,1,1,0,0
172,1,1,0,0
173,1,1,1,1
174,1,1,0,0
175,1,1,1,1
176,1,1,1,1
177,1,0,0,0
178,1,1,1,1
179,1,1,1,1
180,1,1,1,1
181,1,1,0,0
182,1,1,0,0
183,1,1,0,0
184,1,1,1,1
185,1,1,1,1
186,1,1,1,1
187,1,1,0,0
188,1,1,1,1
189,1,1,1,1
190,1,1,0,0
191,1,0,0,0
192,0,1,0,0
193,1,1,1,1
194,1,1,1,1
195,1,1,0,0
196,1,1,1,1
197,1,1,1,1
198,1,1,0,0
199,1,1,0,0
200,1,1,1,1
201,0,1,0,0
202,1,1,1,1
203,0,1,0,0
204,1,1,1,1
205,0,1,0,0
206,1,1,1,1
207,1,0,0,0
208,1,1,1,1
209,1,1,0,0
210,1,1,1,1
211,1,1,1,1
212,1,1,0,0
213,1,0,0,0
214,1,1,1,1
215,1,0,0,0
216,1,1,0,0
217,1,1,0,0
218,1,1,0,0
219,1,1,0,0
220,1,1,1,1
221,1,0,0,0
222,1,1,0,0
223,1,1,0,0
224,1,1,1,1
225,1,1,0,0
226,1,1,0,0
227,1,1,0,0
228,1,1,1,1
229,1,1,1,1
230,1,1,0,0
