name,method,uri,service,description
POST /api/v1/adminbasicservice/adminbasic/configs,POST,/api/v1/adminbasicservice/adminbasic/configs,ts-admin-basic-info-service,Add configs
GET /api/v1/adminbasicservice/adminbasic/configs,GET,/api/v1/adminbasicservice/adminbasic/configs,ts-admin-basic-info-service,Get all configs information
PUT /api/v1/adminbasicservice/adminbasic/configs,PUT,/api/v1/adminbasicservice/adminbasic/configs,ts-admin-basic-info-service,Modify configs information
DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},DELETE,/api/v1/adminbasicservice/adminbasic/configs/{name},ts-admin-basic-info-service,Delete configs by Name
POST /api/v1/adminbasicservice/adminbasic/contacts,POST,/api/v1/adminbasicservice/adminbasic/contacts,ts-admin-basic-info-service,Add contacts
GET /api/v1/adminbasicservice/adminbasic/contacts,GET,/api/v1/adminbasicservice/adminbasic/contacts,ts-admin-basic-info-service,Get all contacts information
PUT /api/v1/adminbasicservice/adminbasic/contacts,PUT,/api/v1/adminbasicservice/adminbasic/contacts,ts-admin-basic-info-service,Modify contacts information
DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},DELETE,/api/v1/adminbasicservice/adminbasic/contacts/{contactsId},ts-admin-basic-info-service,Delete contacts by Id
POST /api/v1/adminbasicservice/adminbasic/prices,POST,/api/v1/adminbasicservice/adminbasic/prices,ts-admin-basic-info-service,Add stations
GET /api/v1/adminbasicservice/adminbasic/prices,GET,/api/v1/adminbasicservice/adminbasic/prices,ts-admin-basic-info-service,Get prices information
PUT /api/v1/adminbasicservice/adminbasic/prices,PUT,/api/v1/adminbasicservice/adminbasic/prices,ts-admin-basic-info-service,Modify prices information
DELETE /api/v1/adminbasicservice/adminbasic/prices/{pricesId},DELETE,/api/v1/adminbasicservice/adminbasic/prices/{pricesId},ts-admin-basic-info-service,Delete prices by Id
POST /api/v1/adminbasicservice/adminbasic/stations,POST,/api/v1/adminbasicservice/adminbasic/stations,ts-admin-basic-info-service,Add stations
GET /api/v1/adminbasicservice/adminbasic/stations,GET,/api/v1/adminbasicservice/adminbasic/stations,ts-admin-basic-info-service,Get all stations information
PUT /api/v1/adminbasicservice/adminbasic/stations,PUT,/api/v1/adminbasicservice/adminbasic/stations,ts-admin-basic-info-service,Modify stations information
DELETE /api/v1/adminbasicservice/adminbasic/stations/{id},DELETE,/api/v1/adminbasicservice/adminbasic/stations/{id},ts-admin-basic-info-service,Delete stations by Id
GET /api/v1/adminbasicservice/adminbasic/trains,GET,/api/v1/adminbasicservice/adminbasic/trains,ts-admin-basic-info-service,Get all trains information
GET /api/v1/adminorderservice/adminorder,GET,/api/v1/adminorderservice/adminorder,ts-admin-order-service,Get all orders
DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},DELETE,/api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},ts-admin-order-service,delete one order
POST /api/v1/adminrouteservice/adminroute,POST,/api/v1/adminrouteservice/adminroute,ts-admin-route-service,add one route
GET /api/v1/adminrouteservice/adminroute,GET,/api/v1/adminrouteservice/adminroute,ts-admin-route-service,get all routes' information
DELETE /api/v1/adminrouteservice/adminroute/{routeId},DELETE,/api/v1/adminrouteservice/adminroute/{routeId},ts-admin-route-service,delete one route
GET /api/v1/admintravelservice/admintravel,GET,/api/v1/admintravelservice/admintravel,ts-admin-travel-service,get all travel information
PUT /api/v1/admintravelservice/admintravel,PUT,/api/v1/admintravelservice/admintravel,ts-admin-travel-service,update one travel's information
POST /api/v1/admintravelservice/admintravel,POST,/api/v1/admintravelservice/admintravel,ts-admin-travel-service,add one travel entity
DELETE /api/v1/admintravelservice/admintravel/{tripId},DELETE,/api/v1/admintravelservice/admintravel/{tripId},ts-admin-travel-service,delete a travel entity
GET /api/v1/adminuserservice/users,GET,/api/v1/adminuserservice/users,ts-admin-user-service,get all user information
PUT /api/v1/adminuserservice/users,PUT,/api/v1/adminuserservice/users,ts-admin-user-service,update user information
POST /api/v1/adminuserservice/users,POST,/api/v1/adminuserservice/users,ts-admin-user-service,add one user entity
DELETE /api/v1/adminuserservice/users/{userId},DELETE,/api/v1/adminuserservice/users/{userId},ts-admin-user-service,delete one user entity
GET /api/v1/assuranceservice/assurances/types,GET,/api/v1/assuranceservice/assurances/types,ts-assurance-service,get assurance types
GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId},GET,/api/v1/assuranceservice/assurances/{typeIndex}/{orderId},ts-assurance-service,create assurance entity
POST /api/v1/auth,POST,/api/v1/auth,ts-auth-service,create user
POST /api/v1/basicservice/basic/travel,POST,/api/v1/basicservice/basic/travel,ts-basic-service,query basic travel information
POST /api/v1/basicservice/basic/travels,POST,/api/v1/basicservice/basic/travels,ts-basic-service,query basic travel information
GET /api/v1/cancelservice/cancel/refound/{orderId},GET,/api/v1/cancelservice/cancel/refound/{orderId},ts-cancel-service,calculate refund amount.
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET,/api/v1/cancelservice/cancel/{orderId}/{loginId},ts-cancel-service,cancel ticket
