name,type,description,keywords
container_blkio_device_usage_total,counter,Blkio Device bytes usage,container block io device usage total
container_cpu_cfs_periods_total,counter,Number of elapsed enforcement period intervals.,container cpu cfs periods total
container_cpu_cfs_throttled_periods_total,counter,Number of throttled period intervals.,container cpu cfs throttled periods total
container_cpu_usage_seconds_total,counter,Cumulative cpu time consumed in seconds.,container cpu usage seconds total
container_fs_inodes_free,gauge,Number of available Inodes,container filesystem inodes free
container_fs_inodes_total,gauge,Number of Inodes,container filesystem inodes total
container_fs_limit_bytes,gauge,Number of bytes that can be consumed by the container on this filesystem.,container filesystem limit bytes
container_fs_read_seconds_total,counter,Cumulative count of seconds spent reading,container filesystem read seconds total
container_fs_reads_bytes_total,counter,Cumulative count of bytes read,container filesystem reads bytes total
container_fs_reads_total,counter,Cumulative count of reads completed,container filesystem reads total
container_fs_usage_bytes,gauge,Number of bytes that are consumed by the container on this filesystem.,container filesystem usage bytes
container_fs_write_seconds_total,counter,Cumulative count of seconds spent writing,container filesystem write seconds total
container_fs_writes_bytes_total,counter,Cumulative count of bytes written,container filesystem writes bytes total
container_fs_writes_total,counter,Cumulative count of writes completed,container filesystem writes total
container_memory_cache,gauge,Number of bytes of page cache memory.,container memory cache
container_memory_failcnt,counter,Number of memory usage hits limits,container memory failcnt
container_memory_failures_total,counter,Cumulative count of memory allocation failures.,container memory failures total
container_memory_max_usage_bytes,gauge,Maximum memory usage recorded in bytes,container memory max usage bytes
container_memory_rss,gauge,Size of RSS in bytes.,container memory rss
container_memory_usage_bytes,gauge,"Current memory usage in bytes, including all memory regardless of when it was accessed",container memory usage bytes
container_memory_working_set_bytes,gauge,Current working set in bytes.,container memory working set bytes
container_network_receive_bytes_total,counter,Cumulative count of bytes received,container network receive bytes total
container_network_receive_errors_total,counter,Cumulative count of errors encountered while receiving,container network receive errors total
container_network_receive_packets_dropped_total,counter,Cumulative count of packets dropped while receiving,container network receive packets dropped total
container_network_receive_packets_total,counter,Cumulative count of packets received,container network receive packets total
container_network_transmit_bytes_total,counter,Cumulative count of bytes transmitted,container network transmit bytes total
container_network_transmit_errors_total,counter,Cumulative count of errors encountered while transmitting,container network transmit errors total
container_network_transmit_packets_dropped_total,counter,Cumulative count of packets dropped while transmitting,container network transmit packets dropped total
container_network_transmit_packets_total,counter,Cumulative count of packets transmitted,container network transmit packets total
container_processes,gauge,Number of processes running inside the container.,container processes
container_sockets,gauge,Number of open sockets for the container.,container sockets
container_threads,gauge,Number of threads running inside the container,container threads
container_ulimits_soft,gauge,"Soft ulimit values for the container root process. Unlimited if -1, except priority and nice",container ulimits soft
kube_deployment_spec_paused,gauge,[STABLE] Whether the deployment is paused and will not be processed by the deployment controller.,kube deployment spec paused
kube_deployment_spec_replicas,gauge,[STABLE] Number of desired pods for a deployment.,kube deployment spec replicas
kube_deployment_status_replicas,gauge,[STABLE] The number of replicas per deployment.,kube deployment status replicas
kube_deployment_status_replicas_available,gauge,[STABLE] The number of available replicas per deployment.,kube deployment status replicas available
kube_deployment_status_replicas_ready,gauge,[STABLE] The number of ready replicas per deployment.,kube deployment status replicas ready
kube_deployment_status_replicas_unavailable,gauge,[STABLE] The number of unavailable replicas per deployment.,kube deployment status replicas unavailable
kube_deployment_status_replicas_updated,gauge,[STABLE] The number of updated replicas per deployment.,kube deployment status replicas updated
