name,ip
alertmanager-prometheus-kube-prometheus-alertmanager-0,10.244.3.35
cert-manager-67459fb8df-scrdx,10.244.5.2
cert-manager-cainjector-75b8b97c87-7nns6,10.244.4.2
cert-manager-webhook-64d775b48f-vlmc9,10.244.1.2
coredns-558bd4d5db-blf7l,10.244.2.2
coredns-558bd4d5db-qw6j2,10.244.3.2
etcd-k8s-master,10.176.122.154
kube-apiserver-k8s-master,10.176.122.154
kube-controller-manager-k8s-master,10.176.122.154
kube-flannel-ds-2km2c,10.176.122.162
kube-flannel-ds-6zgn6,10.176.122.151
kube-flannel-ds-j8xlm,10.176.122.153
kube-flannel-ds-n5zd8,10.176.122.161
kube-flannel-ds-nn7xq,10.176.122.154
kube-flannel-ds-zblf5,10.176.122.152
kube-proxy-277dm,10.176.122.151
kube-proxy-5g4mz,10.176.122.154
kube-proxy-crfd5,10.176.122.162
kube-proxy-hxs5h,10.176.122.152
kube-proxy-xv697,10.176.122.153
kube-proxy-z7dx5,10.176.122.161
kube-scheduler-k8s-master,10.176.122.154
loki-0,10.244.4.22
loki-promtail-jsf7b,10.244.1.33
loki-promtail-sl5mq,10.244.5.23
loki-promtail-x2qwc,10.244.3.32
loki-promtail-z5x7x,10.244.2.35
loki-promtail-zc75c,10.244.0.4
loki-promtail-zfhsm,10.244.4.23
nacos-0,10.244.2.38
nacos-1,10.244.2.39
nacos-2,10.244.2.40
nacosdb-mysql-0,10.244.4.24
nacosdb-mysql-1,10.244.5.25
nacosdb-mysql-2,10.244.1.34
opentelemetry-operator-controller-manager-7bfb68fcc4-lvblp,10.244.4.3
otelcol-opentelemetry-collector-84d9789ddb-2s6tt,10.244.5.4
otelcol-opentelemetry-collector-84d9789ddb-8ghcp,10.244.5.3
otelcol-opentelemetry-collector-84d9789ddb-bx8vq,10.244.3.3
otelcol-opentelemetry-collector-84d9789ddb-dh77j,10.244.1.3
otelcol-opentelemetry-collector-84d9789ddb-hgdq5,10.244.2.3
otelcol-opentelemetry-collector-84d9789ddb-phrkl,10.244.2.4
prometheus-kube-prometheus-operator-bbb4b878f-dmjgq,10.244.3.34
prometheus-kube-state-metrics-6dd9d4d94f-pm8k4,10.244.5.24
prometheus-prometheus-kube-prometheus-prometheus-0,10.244.2.66
prometheus-prometheus-node-exporter-6gwxh,10.176.122.154
prometheus-prometheus-node-exporter-ffb65,10.176.122.153
prometheus-prometheus-node-exporter-g5ds2,10.176.122.161
