src,dst
DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},DELETE /api/v1/configservice/configs/{configName}
DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},DELETE /api/v1/contactservice/contacts/{contactsId}
DELETE /api/v1/adminbasicservice/adminbasic/prices/{pricesId},DELETE /api/v1/priceservice/prices/{pricesId}
DELETE /api/v1/adminbasicservice/adminbasic/stations/{id},DELETE /api/v1/stationservice/stations/{stationsId}
DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},DELETE /api/v1/orderOtherService/orderOther/{orderId}
DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},DELETE /api/v1/orderservice/order/{orderId}
DELETE /api/v1/adminrouteservice/adminroute/{routeId},DELETE /api/v1/routeservice/routes/{routeId}
DELETE /api/v1/admintravelservice/admintravel/{tripId},DELETE /api/v1/travelservice/trips/{tripId}
DELETE /api/v1/adminuserservice/users/{userId},DELETE /api/v1/userservice/users/{userId}
DELETE /api/v1/userservice/users/{userId},DELETE /api/v1/users/{userId}
GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/configservice/configs
GET /api/v1/adminbasicservice/adminbasic/contacts,GET /api/v1/contactservice/contacts
GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/priceservice/prices
GET /api/v1/adminbasicservice/adminbasic/stations,GET /api/v1/stationservice/stations
GET /api/v1/adminbasicservice/adminbasic/trains,GET /api/v1/trainservice/trains
GET /api/v1/adminorderservice/adminorder,GET /api/v1/orderOtherService/orderOther
GET /api/v1/adminorderservice/adminorder,GET /api/v1/orderservice/order
GET /api/v1/adminrouteservice/adminroute,GET /api/v1/routeservice/routes
GET /api/v1/admintravelservice/admintravel,GET /api/v1/travel2service/admin_trip
GET /api/v1/admintravelservice/admintravel,GET /api/v1/travelservice/admin_trip
GET /api/v1/adminuserservice/users,GET /api/v1/userservice/users
GET /api/v1/cancelservice/cancel/refound/{orderId},GET /api/v1/orderOtherService/orderOther/{orderId}
GET /api/v1/cancelservice/cancel/refound/{orderId},GET /api/v1/orderservice/order/{orderId}
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money}
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET /api/v1/orderOtherService/orderOther/{orderId}
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET /api/v1/orderservice/order/{orderId}
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET /api/v1/userservice/users/id/{userId}
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},PUT /api/v1/orderOtherService/orderOther
GET /api/v1/cancelservice/cancel/{orderId}/{loginId},PUT /api/v1/orderservice/order
GET /api/v1/executeservice/execute/collected/{orderId},GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}
GET /api/v1/executeservice/execute/collected/{orderId},GET /api/v1/orderOtherService/orderOther/{orderId}
GET /api/v1/executeservice/execute/collected/{orderId},GET /api/v1/orderservice/order/status/{orderId}/{status}
GET /api/v1/executeservice/execute/collected/{orderId},GET /api/v1/orderservice/order/{orderId}
GET /api/v1/executeservice/execute/execute/{orderId},GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}
GET /api/v1/executeservice/execute/execute/{orderId},GET /api/v1/orderOtherService/orderOther/{orderId}
GET /api/v1/executeservice/execute/execute/{orderId},GET /api/v1/orderservice/order/status/{orderId}/{status}
GET /api/v1/executeservice/execute/execute/{orderId},GET /api/v1/orderservice/order/{orderId}
GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/trainfoodservice/trainfoods/{tripId}
GET /api/v1/securityservice/securityConfigs/{accountId},GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
GET /api/v1/securityservice/securityConfigs/{accountId},GET /api/v1/orderservice/order/security/{checkDate}/{accountId}
GET /api/v1/travel2service/admin_trip,GET /api/v1/routeservice/routes/{routeId}
