deployment,replicaset
cert-manager,cert-manager-67459fb8df
cert-manager-cainjector,cert-manager-cainjector-75b8b97c87
cert-manager-webhook,cert-manager-webhook-64d775b48f
coredns,coredns-558bd4d5db
opentelemetry-operator-controller-manager,opentelemetry-operator-controller-manager-7bfb68fcc4
otelcol-opentelemetry-collector,otelcol-opentelemetry-collector-84d9789ddb
prometheus-kube-prometheus-operator,prometheus-kube-prometheus-operator-bbb4b878f
prometheus-kube-state-metrics,prometheus-kube-state-metrics-6dd9d4d94f
rabbitmq,rabbitmq-7dffdd7bb8
ts-admin-basic-info-service,ts-admin-basic-info-service-768df9d645
ts-admin-order-service,ts-admin-order-service-68f76f4775
ts-admin-route-service,ts-admin-route-service-5b57ff6d57
ts-admin-travel-service,ts-admin-travel-service-65f99666b6
ts-admin-user-service,ts-admin-user-service-7d94ff5bc6
ts-assurance-service,ts-assurance-service-75857d4f45
ts-auth-service,ts-auth-service-6f695b66dc
ts-avatar-service,ts-avatar-service-7d66bbcfb8
ts-basic-service,ts-basic-service-6f7d85c664
ts-cancel-service,ts-cancel-service-74d57dff8d
ts-config-service,ts-config-service-56756cd4b7
ts-consign-price-service,ts-consign-price-service-756469f8f9
ts-consign-service,ts-consign-service-57dff95494
ts-contacts-service,ts-contacts-service-7598b8f96f
ts-delivery-service,ts-delivery-service-796698457f
ts-execute-service,ts-execute-service-76584dd465
ts-food-delivery-service,ts-food-delivery-service-6446cc9999
ts-food-service,ts-food-service-66f9498cdf
ts-gateway-service,ts-gateway-service-6f99b4b794
ts-inside-payment-service,ts-inside-payment-service-5d897577cc
ts-news-service,ts-news-service-867fc4cb4f
ts-notification-service,ts-notification-service-54b94867b9
ts-order-other-service,ts-order-other-service-599787b58b
ts-order-service,ts-order-service-5cffbb94fd
ts-payment-service,ts-payment-service-bcd86c6d7
ts-preserve-other-service,ts-preserve-other-service-b89f79469
ts-preserve-service,ts-preserve-service-f67995894
ts-price-service,ts-price-service-7c9648f9dc
ts-rebook-service,ts-rebook-service-9b757b65
ts-route-plan-service,ts-route-plan-service-55ffcdf865
ts-route-service,ts-route-service-54d744ccc9
ts-seat-service,ts-seat-service-5b97bc9fb5
ts-security-service,ts-security-service-6cfbd5679
ts-station-food-service,ts-station-food-service-b974d49f7
ts-station-service,ts-station-service-69dd95ff9d
ts-ticket-office-service,ts-ticket-office-service-5ccb5477cf
ts-train-food-service,ts-train-food-service-6cc445bdd5
ts-train-service,ts-train-service-c8696bf95
ts-travel-plan-service,ts-travel-plan-service-6b59d578db
ts-travel-service,ts-travel-service-c598b7879
ts-travel2-service,ts-travel2-service-7ccf6c966f
ts-ui-dashboard,ts-ui-dashboard-546ff59599
ts-user-service,ts-user-service-5fc7759cf4
ts-verification-code-service,ts-verification-code-service-6445455b6c
ts-voucher-service,ts-voucher-service-66786949b4
ts-wait-order-service,ts-wait-order-service-d96db497b
