label_value_pair,api
span_name=DELETE /api/v1/adminbasicservice/adminbasic/configs/{name},DELETE /api/v1/adminbasicservice/adminbasic/configs/{name}
span_name=DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId},DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId}
span_name=DELETE /api/v1/adminbasicservice/adminbasic/prices/{pricesId},DELETE /api/v1/adminbasicservice/adminbasic/prices/{pricesId}
span_name=DELETE /api/v1/adminbasicservice/adminbasic/stations/{id},DELETE /api/v1/adminbasicservice/adminbasic/stations/{id}
span_name=DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber},DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber}
span_name=DELETE /api/v1/adminrouteservice/adminroute/{routeId},DELETE /api/v1/adminrouteservice/adminroute/{routeId}
span_name=DELETE /api/v1/admintravelservice/admintravel/{tripId},DELETE /api/v1/admintravelservice/admintravel/{tripId}
span_name=DELETE /api/v1/adminuserservice/users/{userId},DELETE /api/v1/adminuserservice/users/{userId}
span_name=DELETE /api/v1/configservice/configs/{configName},DELETE /api/v1/configservice/configs/{configName}
span_name=DELETE /api/v1/contactservice/contacts/{contactsId},DELETE /api/v1/contactservice/contacts/{contactsId}
span_name=DELETE /api/v1/orderOtherService/orderOther/{orderId},DELETE /api/v1/orderOtherService/orderOther/{orderId}
span_name=DELETE /api/v1/orderservice/order/{orderId},DELETE /api/v1/orderservice/order/{orderId}
span_name=DELETE /api/v1/priceservice/prices/{pricesId},DELETE /api/v1/priceservice/prices/{pricesId}
span_name=DELETE /api/v1/routeservice/routes/{routeId},DELETE /api/v1/routeservice/routes/{routeId}
span_name=DELETE /api/v1/stationservice/stations/{stationsId},DELETE /api/v1/stationservice/stations/{stationsId}
span_name=DELETE /api/v1/travelservice/trips/{tripId},DELETE /api/v1/travelservice/trips/{tripId}
span_name=DELETE /api/v1/users/{userId},DELETE /api/v1/users/{userId}
span_name=DELETE /api/v1/userservice/users/{userId},DELETE /api/v1/userservice/users/{userId}
span_name=GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs
span_name=GET /api/v1/adminbasicservice/adminbasic/contacts,GET /api/v1/adminbasicservice/adminbasic/contacts
span_name=GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices
span_name=GET /api/v1/adminbasicservice/adminbasic/stations,GET /api/v1/adminbasicservice/adminbasic/stations
span_name=GET /api/v1/adminbasicservice/adminbasic/trains,GET /api/v1/adminbasicservice/adminbasic/trains
span_name=GET /api/v1/adminorderservice/adminorder,GET /api/v1/adminorderservice/adminorder
span_name=GET /api/v1/adminrouteservice/adminroute,GET /api/v1/adminrouteservice/adminroute
span_name=GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel
span_name=GET /api/v1/adminuserservice/users,GET /api/v1/adminuserservice/users
span_name=GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types
span_name=GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId},GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId}
span_name=GET /api/v1/cancelservice/cancel/refound/{orderId},GET /api/v1/cancelservice/cancel/refound/{orderId}
span_name=GET /api/v1/cancelservice/cancel/{orderId}/{loginId},GET /api/v1/cancelservice/cancel/{orderId}/{loginId}
span_name=GET /api/v1/configservice/configs,GET /api/v1/configservice/configs
span_name=GET /api/v1/configservice/configs/{configName},GET /api/v1/configservice/configs/{configName}
span_name=GET /api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion},GET /api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion}
span_name=GET /api/v1/consignservice/consigns/account/{id},GET /api/v1/consignservice/consigns/account/{id}
span_name=GET /api/v1/consignservice/consigns/order/{id},GET /api/v1/consignservice/consigns/order/{id}
span_name=GET /api/v1/consignservice/consigns/{consignee},GET /api/v1/consignservice/consigns/{consignee}
span_name=GET /api/v1/contactservice/contacts,GET /api/v1/contactservice/contacts
span_name=GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId}
span_name=GET /api/v1/contactservice/contacts/{id},GET /api/v1/contactservice/contacts/{id}
span_name=GET /api/v1/executeservice/execute/collected/{orderId},GET /api/v1/executeservice/execute/collected/{orderId}
span_name=GET /api/v1/executeservice/execute/execute/{orderId},GET /api/v1/executeservice/execute/execute/{orderId}
span_name=GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}
span_name=GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money},GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money}
span_name=GET /api/v1/inside_pay_service/inside_payment/{userId}/{money},GET /api/v1/inside_pay_service/inside_payment/{userId}/{money}
span_name=GET /api/v1/orderOtherService/orderOther,GET /api/v1/orderOtherService/orderOther
span_name=GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId},GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
span_name=GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status},GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}
span_name=GET /api/v1/orderOtherService/orderOther/{orderId},GET /api/v1/orderOtherService/orderOther/{orderId}
span_name=GET /api/v1/orderservice/order,GET /api/v1/orderservice/order
span_name=GET /api/v1/orderservice/order/security/{checkDate}/{accountId},GET /api/v1/orderservice/order/security/{checkDate}/{accountId}
span_name=GET /api/v1/orderservice/order/status/{orderId}/{status},GET /api/v1/orderservice/order/status/{orderId}/{status}
span_name=GET /api/v1/orderservice/order/{orderId},GET /api/v1/orderservice/order/{orderId}
span_name=GET /api/v1/priceservice/prices,GET /api/v1/priceservice/prices
