label_value_pair,container
container=alertmanager,alertmanager
container=cert-manager-cainjector,cert-manager-cainjector
container=cert-manager-controller,cert-manager-controller
container=cert-manager-webhook,cert-manager-webhook
container=config-reloader,config-reloader
container=coredns,coredns
container=etcd,etcd
container=k8snacos,k8snacos
container=kube-apiserver,kube-apiserver
container=kube-controller-manager,kube-controller-manager
container=kube-flannel,kube-flannel
container=kube-prometheus-stack,kube-prometheus-stack
container=kube-proxy,kube-proxy
container=kube-rbac-proxy,kube-rbac-proxy
container=kube-scheduler,kube-scheduler
container=kube-state-metrics,kube-state-metrics
container=loki,loki
container=manager,manager
container=mysql,mysql
container=node-exporter,node-exporter
container=opentelemetry-collector,opentelemetry-collector
container=prometheus,prometheus
container=promtail,promtail
container=rabbitmq,rabbitmq
container=slowlog,slowlog
container=tempo,tempo
container=tempo-query,tempo-query
container=ts-admin-basic-info-service,ts-admin-basic-info-service
container=ts-admin-order-service,ts-admin-order-service
container=ts-admin-route-service,ts-admin-route-service
container=ts-admin-travel-service,ts-admin-travel-service
container=ts-admin-user-service,ts-admin-user-service
container=ts-assurance-service,ts-assurance-service
container=ts-auth-service,ts-auth-service
container=ts-avatar-service,ts-avatar-service
container=ts-basic-service,ts-basic-service
container=ts-cancel-service,ts-cancel-service
container=ts-config-service,ts-config-service
container=ts-consign-price-service,ts-consign-price-service
container=ts-consign-service,ts-consign-service
container=ts-contacts-service,ts-contacts-service
container=ts-delivery-service,ts-delivery-service
container=ts-execute-service,ts-execute-service
container=ts-food-delivery-service,ts-food-delivery-service
container=ts-food-service,ts-food-service
container=ts-gateway-service,ts-gateway-service
container=ts-inside-payment-service,ts-inside-payment-service
container=ts-news-service,ts-news-service
container=ts-notification-service,ts-notification-service
container=ts-order-other-service,ts-order-other-service
container=ts-order-service,ts-order-service
container=ts-payment-service,ts-payment-service
container=ts-preserve-other-service,ts-preserve-other-service
container=ts-preserve-service,ts-preserve-service
container=ts-price-service,ts-price-service
container=ts-rebook-service,ts-rebook-service
container=ts-route-plan-service,ts-route-plan-service
container=ts-route-service,ts-route-service
container=ts-seat-service,ts-seat-service
container=ts-security-service,ts-security-service
container=ts-station-food-service,ts-station-food-service
container=ts-station-service,ts-station-service
container=ts-ticket-office-service,ts-ticket-office-service
container=ts-train-food-service,ts-train-food-service
container=ts-train-service,ts-train-service
container=ts-travel-plan-service,ts-travel-plan-service
container=ts-travel-service,ts-travel-service
container=ts-travel2-service,ts-travel2-service
container=ts-ui-dashboard,ts-ui-dashboard
container=ts-user-service,ts-user-service
container=ts-verification-code-service,ts-verification-code-service
container=ts-voucher-service,ts-voucher-service
container=ts-wait-order-service,ts-wait-order-service
container=xenon,xenon
