label_value_pair,deployment
deployment=cert-manager,cert-manager
deployment=cert-manager-cainjector,cert-manager-cainjector
deployment=cert-manager-webhook,cert-manager-webhook
deployment=coredns,coredns
deployment=opentelemetry-operator-controller-manager,opentelemetry-operator-controller-manager
deployment=otelcol-opentelemetry-collector,otelcol-opentelemetry-collector
deployment=prometheus-kube-prometheus-operator,prometheus-kube-prometheus-operator
deployment=prometheus-kube-state-metrics,prometheus-kube-state-metrics
deployment=rabbitmq,rabbitmq
deployment=ts-admin-basic-info-service,ts-admin-basic-info-service
deployment=ts-admin-order-service,ts-admin-order-service
deployment=ts-admin-route-service,ts-admin-route-service
deployment=ts-admin-travel-service,ts-admin-travel-service
deployment=ts-admin-user-service,ts-admin-user-service
deployment=ts-assurance-service,ts-assurance-service
deployment=ts-auth-service,ts-auth-service
deployment=ts-avatar-service,ts-avatar-service
deployment=ts-basic-service,ts-basic-service
deployment=ts-cancel-service,ts-cancel-service
deployment=ts-config-service,ts-config-service
deployment=ts-consign-price-service,ts-consign-price-service
deployment=ts-consign-service,ts-consign-service
deployment=ts-contacts-service,ts-contacts-service
deployment=ts-delivery-service,ts-delivery-service
deployment=ts-execute-service,ts-execute-service
deployment=ts-food-delivery-service,ts-food-delivery-service
deployment=ts-food-service,ts-food-service
deployment=ts-gateway-service,ts-gateway-service
deployment=ts-inside-payment-service,ts-inside-payment-service
deployment=ts-news-service,ts-news-service
deployment=ts-notification-service,ts-notification-service
deployment=ts-order-other-service,ts-order-other-service
deployment=ts-order-service,ts-order-service
deployment=ts-payment-service,ts-payment-service
deployment=ts-preserve-other-service,ts-preserve-other-service
deployment=ts-preserve-service,ts-preserve-service
deployment=ts-price-service,ts-price-service
deployment=ts-rebook-service,ts-rebook-service
deployment=ts-route-plan-service,ts-route-plan-service
deployment=ts-route-service,ts-route-service
deployment=ts-seat-service,ts-seat-service
deployment=ts-security-service,ts-security-service
deployment=ts-station-food-service,ts-station-food-service
deployment=ts-station-service,ts-station-service
deployment=ts-ticket-office-service,ts-ticket-office-service
deployment=ts-train-food-service,ts-train-food-service
deployment=ts-train-service,ts-train-service
deployment=ts-travel-plan-service,ts-travel-plan-service
deployment=ts-travel-service,ts-travel-service
deployment=ts-travel2-service,ts-travel2-service
deployment=ts-ui-dashboard,ts-ui-dashboard
deployment=ts-user-service,ts-user-service
deployment=ts-verification-code-service,ts-verification-code-service
deployment=ts-voucher-service,ts-voucher-service
deployment=ts-wait-order-service,ts-wait-order-service
