label_value_pair,node
instance=10.176.122.151:10250,10.176.122.151
instance=10.176.122.151:9100,10.176.122.151
instance=10.176.122.152:10250,10.176.122.152
instance=10.176.122.152:9100,10.176.122.152
instance=10.176.122.153:10250,10.176.122.153
instance=10.176.122.153:9100,10.176.122.153
instance=10.176.122.154:10250,10.176.122.154
instance=10.176.122.154:9100,10.176.122.154
instance=10.176.122.161:10250,10.176.122.161
instance=10.176.122.161:9100,10.176.122.161
instance=10.176.122.162:10250,10.176.122.162
instance=10.176.122.162:9100,10.176.122.162
