label_value_pair,pod
pod=alertmanager-prometheus-kube-prometheus-alertmanager-0,alertmanager-prometheus-kube-prometheus-alertmanager-0
pod=cert-manager-67459fb8df-scrdx,cert-manager-67459fb8df-scrdx
pod=cert-manager-cainjector-75b8b97c87-7nns6,cert-manager-cainjector-75b8b97c87-7nns6
pod=cert-manager-webhook-64d775b48f-vlmc9,cert-manager-webhook-64d775b48f-vlmc9
pod=coredns-558bd4d5db-blf7l,coredns-558bd4d5db-blf7l
pod=coredns-558bd4d5db-qw6j2,coredns-558bd4d5db-qw6j2
pod=etcd-k8s-master,etcd-k8s-master
pod=kube-apiserver-k8s-master,kube-apiserver-k8s-master
pod=kube-controller-manager-k8s-master,kube-controller-manager-k8s-master
pod=kube-flannel-ds-2km2c,kube-flannel-ds-2km2c
pod=kube-flannel-ds-6zgn6,kube-flannel-ds-6zgn6
pod=kube-flannel-ds-j8xlm,kube-flannel-ds-j8xlm
pod=kube-flannel-ds-n5zd8,kube-flannel-ds-n5zd8
pod=kube-flannel-ds-nn7xq,kube-flannel-ds-nn7xq
pod=kube-flannel-ds-zblf5,kube-flannel-ds-zblf5
pod=kube-proxy-277dm,kube-proxy-277dm
pod=kube-proxy-5g4mz,kube-proxy-5g4mz
pod=kube-proxy-crfd5,kube-proxy-crfd5
pod=kube-proxy-hxs5h,kube-proxy-hxs5h
pod=kube-proxy-xv697,kube-proxy-xv697
pod=kube-proxy-z7dx5,kube-proxy-z7dx5
pod=kube-scheduler-k8s-master,kube-scheduler-k8s-master
pod=loki-0,loki-0
pod=loki-promtail-jsf7b,loki-promtail-jsf7b
pod=loki-promtail-sl5mq,loki-promtail-sl5mq
pod=loki-promtail-x2qwc,loki-promtail-x2qwc
pod=loki-promtail-z5x7x,loki-promtail-z5x7x
pod=loki-promtail-zc75c,loki-promtail-zc75c
pod=loki-promtail-zfhsm,loki-promtail-zfhsm
pod=nacos-0,nacos-0
pod=nacos-1,nacos-1
pod=nacos-2,nacos-2
pod=nacosdb-mysql-0,nacosdb-mysql-0
pod=nacosdb-mysql-1,nacosdb-mysql-1
pod=nacosdb-mysql-2,nacosdb-mysql-2
pod=opentelemetry-operator-controller-manager-7bfb68fcc4-lvblp,opentelemetry-operator-controller-manager-7bfb68fcc4-lvblp
pod=otelcol-opentelemetry-collector-84d9789ddb-2s6tt,otelcol-opentelemetry-collector-84d9789ddb-2s6tt
pod=otelcol-opentelemetry-collector-84d9789ddb-8ghcp,otelcol-opentelemetry-collector-84d9789ddb-8ghcp
pod=otelcol-opentelemetry-collector-84d9789ddb-bx8vq,otelcol-opentelemetry-collector-84d9789ddb-bx8vq
pod=otelcol-opentelemetry-collector-84d9789ddb-dh77j,otelcol-opentelemetry-collector-84d9789ddb-dh77j
pod=otelcol-opentelemetry-collector-84d9789ddb-hgdq5,otelcol-opentelemetry-collector-84d9789ddb-hgdq5
pod=otelcol-opentelemetry-collector-84d9789ddb-phrkl,otelcol-opentelemetry-collector-84d9789ddb-phrkl
pod=prometheus-kube-prometheus-operator-bbb4b878f-dmjgq,prometheus-kube-prometheus-operator-bbb4b878f-dmjgq
pod=prometheus-kube-state-metrics-6dd9d4d94f-pm8k4,prometheus-kube-state-metrics-6dd9d4d94f-pm8k4
pod=prometheus-prometheus-kube-prometheus-prometheus-0,prometheus-prometheus-kube-prometheus-prometheus-0
pod=prometheus-prometheus-node-exporter-6gwxh,prometheus-prometheus-node-exporter-6gwxh
pod=prometheus-prometheus-node-exporter-ffb65,prometheus-prometheus-node-exporter-ffb65
pod=prometheus-prometheus-node-exporter-g5ds2,prometheus-prometheus-node-exporter-g5ds2
pod=prometheus-prometheus-node-exporter-h4zj5,prometheus-prometheus-node-exporter-h4zj5
pod=prometheus-prometheus-node-exporter-qp66q,prometheus-prometheus-node-exporter-qp66q
pod=prometheus-prometheus-node-exporter-zv29v,prometheus-prometheus-node-exporter-zv29v
pod=rabbitmq-7dffdd7bb8-5v4q6,rabbitmq-7dffdd7bb8-5v4q6
pod=tempo-0,tempo-0
pod=ts-admin-basic-info-service-768df9d645-49bxh,ts-admin-basic-info-service-768df9d645-49bxh
pod=ts-admin-basic-info-service-768df9d645-6rfmc,ts-admin-basic-info-service-768df9d645-6rfmc
pod=ts-admin-order-service-68f76f4775-pfq9j,ts-admin-order-service-68f76f4775-pfq9j
pod=ts-admin-order-service-68f76f4775-r4tgh,ts-admin-order-service-68f76f4775-r4tgh
pod=ts-admin-route-service-5b57ff6d57-kcqr5,ts-admin-route-service-5b57ff6d57-kcqr5
pod=ts-admin-route-service-5b57ff6d57-rzffz,ts-admin-route-service-5b57ff6d57-rzffz
pod=ts-admin-travel-service-65f99666b6-rwjx5,ts-admin-travel-service-65f99666b6-rwjx5
pod=ts-admin-travel-service-65f99666b6-tlgp6,ts-admin-travel-service-65f99666b6-tlgp6
pod=ts-admin-user-service-7d94ff5bc6-66ccv,ts-admin-user-service-7d94ff5bc6-66ccv
pod=ts-admin-user-service-7d94ff5bc6-pcf7v,ts-admin-user-service-7d94ff5bc6-pcf7v
pod=ts-assurance-service-75857d4f45-b28xp,ts-assurance-service-75857d4f45-b28xp
pod=ts-assurance-service-75857d4f45-mjmvt,ts-assurance-service-75857d4f45-mjmvt
pod=ts-auth-service-6f695b66dc-8xx85,ts-auth-service-6f695b66dc-8xx85
pod=ts-auth-service-6f695b66dc-rqt7m,ts-auth-service-6f695b66dc-rqt7m
pod=ts-avatar-service-7d66bbcfb8-r8q2w,ts-avatar-service-7d66bbcfb8-r8q2w
pod=ts-avatar-service-7d66bbcfb8-sczmm,ts-avatar-service-7d66bbcfb8-sczmm
pod=ts-basic-service-6f7d85c664-lkwnv,ts-basic-service-6f7d85c664-lkwnv
pod=ts-basic-service-6f7d85c664-p9vcx,ts-basic-service-6f7d85c664-p9vcx
pod=ts-cancel-service-74d57dff8d-dz4hz,ts-cancel-service-74d57dff8d-dz4hz
pod=ts-cancel-service-74d57dff8d-hlmr2,ts-cancel-service-74d57dff8d-hlmr2
pod=ts-config-service-56756cd4b7-6hmbl,ts-config-service-56756cd4b7-6hmbl
pod=ts-config-service-56756cd4b7-kxz4r,ts-config-service-56756cd4b7-kxz4r
pod=ts-consign-price-service-756469f8f9-h5crm,ts-consign-price-service-756469f8f9-h5crm
pod=ts-consign-price-service-756469f8f9-rf8vj,ts-consign-price-service-756469f8f9-rf8vj
pod=ts-consign-service-57dff95494-klmwp,ts-consign-service-57dff95494-klmwp
pod=ts-consign-service-57dff95494-n4j2z,ts-consign-service-57dff95494-n4j2z
pod=ts-contacts-service-7598b8f96f-qqxqm,ts-contacts-service-7598b8f96f-qqxqm
pod=ts-contacts-service-7598b8f96f-x64xc,ts-contacts-service-7598b8f96f-x64xc
pod=ts-delivery-service-796698457f-p6887,ts-delivery-service-796698457f-p6887
pod=ts-delivery-service-796698457f-zqrkr,ts-delivery-service-796698457f-zqrkr
pod=ts-execute-service-76584dd465-96d4p,ts-execute-service-76584dd465-96d4p
pod=ts-execute-service-76584dd465-c7628,ts-execute-service-76584dd465-c7628
pod=ts-food-delivery-service-6446cc9999-bvlgd,ts-food-delivery-service-6446cc9999-bvlgd
pod=ts-food-delivery-service-6446cc9999-hqh4c,ts-food-delivery-service-6446cc9999-hqh4c
pod=ts-food-service-66f9498cdf-l826t,ts-food-service-66f9498cdf-l826t
pod=ts-food-service-66f9498cdf-xf27r,ts-food-service-66f9498cdf-xf27r
pod=ts-gateway-service-6f99b4b794-m7t6b,ts-gateway-service-6f99b4b794-m7t6b
pod=ts-gateway-service-6f99b4b794-txqfb,ts-gateway-service-6f99b4b794-txqfb
pod=ts-inside-payment-service-5d897577cc-4zn5m,ts-inside-payment-service-5d897577cc-4zn5m
pod=ts-inside-payment-service-5d897577cc-v7hqm,ts-inside-payment-service-5d897577cc-v7hqm
pod=ts-news-service-867fc4cb4f-xd62r,ts-news-service-867fc4cb4f-xd62r
pod=ts-news-service-867fc4cb4f-zlnt6,ts-news-service-867fc4cb4f-zlnt6
pod=ts-notification-service-54b94867b9-ddfvc,ts-notification-service-54b94867b9-ddfvc
pod=ts-notification-service-54b94867b9-k4qbq,ts-notification-service-54b94867b9-k4qbq
pod=ts-order-other-service-599787b58b-48p9p,ts-order-other-service-599787b58b-48p9p
pod=ts-order-other-service-599787b58b-k9lr8,ts-order-other-service-599787b58b-k9lr8
pod=ts-order-service-5cffbb94fd-9k6vs,ts-order-service-5cffbb94fd-9k6vs
pod=ts-order-service-5cffbb94fd-tqpsq,ts-order-service-5cffbb94fd-tqpsq
pod=ts-payment-service-bcd86c6d7-h2kfz,ts-payment-service-bcd86c6d7-h2kfz
pod=ts-payment-service-bcd86c6d7-lrq7v,ts-payment-service-bcd86c6d7-lrq7v
pod=ts-preserve-other-service-b89f79469-6t9bs,ts-preserve-other-service-b89f79469-6t9bs
pod=ts-preserve-other-service-b89f79469-t7n9k,ts-preserve-other-service-b89f79469-t7n9k
pod=ts-preserve-service-f67995894-27flb,ts-preserve-service-f67995894-27flb
pod=ts-preserve-service-f67995894-gc5qw,ts-preserve-service-f67995894-gc5qw
pod=ts-price-service-7c9648f9dc-jr7g6,ts-price-service-7c9648f9dc-jr7g6
pod=ts-price-service-7c9648f9dc-t8wk4,ts-price-service-7c9648f9dc-t8wk4
pod=ts-rebook-service-9b757b65-cjsrz,ts-rebook-service-9b757b65-cjsrz
pod=ts-rebook-service-9b757b65-wncfw,ts-rebook-service-9b757b65-wncfw
pod=ts-route-plan-service-55ffcdf865-hbkmh,ts-route-plan-service-55ffcdf865-hbkmh
pod=ts-route-plan-service-55ffcdf865-tpc98,ts-route-plan-service-55ffcdf865-tpc98
