label_value_pair,replicaset
replicaset=cert-manager-67459fb8df,cert-manager-67459fb8df
replicaset=cert-manager-cainjector-75b8b97c87,cert-manager-cainjector-75b8b97c87
replicaset=cert-manager-webhook-64d775b48f,cert-manager-webhook-64d775b48f
replicaset=coredns-558bd4d5db,coredns-558bd4d5db
replicaset=opentelemetry-operator-controller-manager-7bfb68fcc4,opentelemetry-operator-controller-manager-7bfb68fcc4
replicaset=otelcol-opentelemetry-collector-84d9789ddb,otelcol-opentelemetry-collector-84d9789ddb
replicaset=prometheus-kube-prometheus-operator-bbb4b878f,prometheus-kube-prometheus-operator-bbb4b878f
replicaset=prometheus-kube-state-metrics-6dd9d4d94f,prometheus-kube-state-metrics-6dd9d4d94f
replicaset=rabbitmq-7dffdd7bb8,rabbitmq-7dffdd7bb8
replicaset=ts-admin-basic-info-service-768df9d645,ts-admin-basic-info-service-768df9d645
replicaset=ts-admin-order-service-68f76f4775,ts-admin-order-service-68f76f4775
replicaset=ts-admin-route-service-5b57ff6d57,ts-admin-route-service-5b57ff6d57
replicaset=ts-admin-travel-service-65f99666b6,ts-admin-travel-service-65f99666b6
replicaset=ts-admin-user-service-7d94ff5bc6,ts-admin-user-service-7d94ff5bc6
replicaset=ts-assurance-service-75857d4f45,ts-assurance-service-75857d4f45
replicaset=ts-auth-service-6f695b66dc,ts-auth-service-6f695b66dc
replicaset=ts-avatar-service-7d66bbcfb8,ts-avatar-service-7d66bbcfb8
replicaset=ts-basic-service-6f7d85c664,ts-basic-service-6f7d85c664
replicaset=ts-cancel-service-74d57dff8d,ts-cancel-service-74d57dff8d
replicaset=ts-config-service-56756cd4b7,ts-config-service-56756cd4b7
replicaset=ts-consign-price-service-756469f8f9,ts-consign-price-service-756469f8f9
replicaset=ts-consign-service-57dff95494,ts-consign-service-57dff95494
replicaset=ts-contacts-service-7598b8f96f,ts-contacts-service-7598b8f96f
replicaset=ts-delivery-service-796698457f,ts-delivery-service-796698457f
replicaset=ts-execute-service-76584dd465,ts-execute-service-76584dd465
replicaset=ts-food-delivery-service-6446cc9999,ts-food-delivery-service-6446cc9999
replicaset=ts-food-service-66f9498cdf,ts-food-service-66f9498cdf
replicaset=ts-gateway-service-6f99b4b794,ts-gateway-service-6f99b4b794
replicaset=ts-inside-payment-service-5d897577cc,ts-inside-payment-service-5d897577cc
replicaset=ts-news-service-867fc4cb4f,ts-news-service-867fc4cb4f
replicaset=ts-notification-service-54b94867b9,ts-notification-service-54b94867b9
replicaset=ts-order-other-service-599787b58b,ts-order-other-service-599787b58b
replicaset=ts-order-service-5cffbb94fd,ts-order-service-5cffbb94fd
replicaset=ts-payment-service-bcd86c6d7,ts-payment-service-bcd86c6d7
replicaset=ts-preserve-other-service-b89f79469,ts-preserve-other-service-b89f79469
replicaset=ts-preserve-service-f67995894,ts-preserve-service-f67995894
replicaset=ts-price-service-7c9648f9dc,ts-price-service-7c9648f9dc
replicaset=ts-rebook-service-9b757b65,ts-rebook-service-9b757b65
replicaset=ts-route-plan-service-55ffcdf865,ts-route-plan-service-55ffcdf865
replicaset=ts-route-service-54d744ccc9,ts-route-service-54d744ccc9
replicaset=ts-seat-service-5b97bc9fb5,ts-seat-service-5b97bc9fb5
replicaset=ts-security-service-6cfbd5679,ts-security-service-6cfbd5679
replicaset=ts-station-food-service-b974d49f7,ts-station-food-service-b974d49f7
replicaset=ts-station-service-69dd95ff9d,ts-station-service-69dd95ff9d
replicaset=ts-ticket-office-service-5ccb5477cf,ts-ticket-office-service-5ccb5477cf
replicaset=ts-train-food-service-6cc445bdd5,ts-train-food-service-6cc445bdd5
replicaset=ts-train-service-c8696bf95,ts-train-service-c8696bf95
replicaset=ts-travel-plan-service-6b59d578db,ts-travel-plan-service-6b59d578db
replicaset=ts-travel-service-c598b7879,ts-travel-service-c598b7879
replicaset=ts-travel2-service-7ccf6c966f,ts-travel2-service-7ccf6c966f
replicaset=ts-ui-dashboard-546ff59599,ts-ui-dashboard-546ff59599
replicaset=ts-user-service-5fc7759cf4,ts-user-service-5fc7759cf4
replicaset=ts-verification-code-service-6445455b6c,ts-verification-code-service-6445455b6c
replicaset=ts-voucher-service-66786949b4,ts-voucher-service-66786949b4
replicaset=ts-wait-order-service-d96db497b,ts-wait-order-service-d96db497b
