label_value_pair,service
client=ts-admin-basic-info-service,ts-admin-basic-info-service
client=ts-admin-order-service,ts-admin-order-service
client=ts-admin-route-service,ts-admin-route-service
client=ts-admin-travel-service,ts-admin-travel-service
client=ts-admin-user-service,ts-admin-user-service
client=ts-assurance-service,ts-assurance-service
client=ts-auth-service,ts-auth-service
client=ts-basic-service,ts-basic-service
client=ts-cancel-service,ts-cancel-service
client=ts-config-service,ts-config-service
client=ts-consign-price-service,ts-consign-price-service
client=ts-consign-service,ts-consign-service
client=ts-contacts-service,ts-contacts-service
client=ts-delivery-service,ts-delivery-service
client=ts-execute-service,ts-execute-service
client=ts-food-service,ts-food-service
client=ts-gateway-service,ts-gateway-service
client=ts-inside-payment-service,ts-inside-payment-service
client=ts-order-other-service,ts-order-other-service
client=ts-order-service,ts-order-service
client=ts-payment-service,ts-payment-service
client=ts-preserve-other-service,ts-preserve-other-service
client=ts-preserve-service,ts-preserve-service
client=ts-price-service,ts-price-service
client=ts-rebook-service,ts-rebook-service
client=ts-route-plan-service,ts-route-plan-service
client=ts-route-service,ts-route-service
client=ts-seat-service,ts-seat-service
client=ts-security-service,ts-security-service
client=ts-station-service,ts-station-service
client=ts-train-food-service,ts-train-food-service
client=ts-train-service,ts-train-service
client=ts-travel-plan-service,ts-travel-plan-service
client=ts-travel-service,ts-travel-service
client=ts-travel2-service,ts-travel2-service
client=ts-user-service,ts-user-service
server=ts-admin-basic-info-service,ts-admin-basic-info-service
server=ts-admin-order-service,ts-admin-order-service
server=ts-admin-route-service,ts-admin-route-service
server=ts-admin-travel-service,ts-admin-travel-service
server=ts-admin-user-service,ts-admin-user-service
server=ts-assurance-service,ts-assurance-service
server=ts-auth-service,ts-auth-service
server=ts-basic-service,ts-basic-service
server=ts-cancel-service,ts-cancel-service
server=ts-config-service,ts-config-service
server=ts-consign-price-service,ts-consign-price-service
server=ts-consign-service,ts-consign-service
server=ts-contacts-service,ts-contacts-service
server=ts-delivery-service,ts-delivery-service
server=ts-execute-service,ts-execute-service
server=ts-food-service,ts-food-service
server=ts-gateway-service,ts-gateway-service
server=ts-inside-payment-service,ts-inside-payment-service
server=ts-order-other-service,ts-order-other-service
server=ts-order-service,ts-order-service
server=ts-payment-service,ts-payment-service
server=ts-preserve-other-service,ts-preserve-other-service
server=ts-preserve-service,ts-preserve-service
server=ts-price-service,ts-price-service
server=ts-rebook-service,ts-rebook-service
server=ts-route-plan-service,ts-route-plan-service
server=ts-route-service,ts-route-service
server=ts-seat-service,ts-seat-service
server=ts-security-service,ts-security-service
server=ts-station-service,ts-station-service
server=ts-train-food-service,ts-train-food-service
server=ts-train-service,ts-train-service
server=ts-travel-plan-service,ts-travel-plan-service
server=ts-travel-service,ts-travel-service
server=ts-travel2-service,ts-travel2-service
server=ts-user-service,ts-user-service
server=ts-verification-code-service,ts-verification-code-service
service=alertmanager-operated,alertmanager-operated
service=cert-manager,cert-manager
service=cert-manager-webhook,cert-manager-webhook
service=kube-dns,kube-dns
service=kubernetes,kubernetes
service=loki,loki
service=loki-headless,loki-headless
service=loki-memberlist,loki-memberlist
service=nacos,nacos
service=nacos-headless,nacos-headless
service=nacosdb-mysql,nacosdb-mysql
service=nacosdb-mysql-follower,nacosdb-mysql-follower
service=nacosdb-mysql-leader,nacosdb-mysql-leader
service=opentelemetry-operator-controller-manager-metrics-service,opentelemetry-operator-controller-manager-metrics-service
service=opentelemetry-operator-webhook-service,opentelemetry-operator-webhook-service
service=otelcol-opentelemetry-collector,otelcol-opentelemetry-collector
service=prometheus-kube-prometheus-alertmanager,prometheus-kube-prometheus-alertmanager
service=prometheus-kube-prometheus-coredns,prometheus-kube-prometheus-coredns
service=prometheus-kube-prometheus-kube-controller-manager,prometheus-kube-prometheus-kube-controller-manager
service=prometheus-kube-prometheus-kube-etcd,prometheus-kube-prometheus-kube-etcd
service=prometheus-kube-prometheus-kube-proxy,prometheus-kube-prometheus-kube-proxy
service=prometheus-kube-prometheus-kube-scheduler,prometheus-kube-prometheus-kube-scheduler
service=prometheus-kube-prometheus-kubelet,prometheus-kube-prometheus-kubelet
service=prometheus-kube-prometheus-operator,prometheus-kube-prometheus-operator
service=prometheus-kube-prometheus-prometheus,prometheus-kube-prometheus-prometheus
service=prometheus-kube-state-metrics,prometheus-kube-state-metrics
service=prometheus-operated,prometheus-operated
service=prometheus-prometheus-node-exporter,prometheus-prometheus-node-exporter
service=rabbitmq,rabbitmq
service=tempo,tempo
service=ts-admin-basic-info-service,ts-admin-basic-info-service
service=ts-admin-order-service,ts-admin-order-service
service=ts-admin-route-service,ts-admin-route-service
service=ts-admin-travel-service,ts-admin-travel-service
service=ts-admin-user-service,ts-admin-user-service
service=ts-assurance-service,ts-assurance-service
service=ts-auth-service,ts-auth-service
service=ts-avatar-service,ts-avatar-service
service=ts-basic-service,ts-basic-service
service=ts-cancel-service,ts-cancel-service
service=ts-config-service,ts-config-service
service=ts-consign-price-service,ts-consign-price-service
service=ts-consign-service,ts-consign-service
service=ts-contacts-service,ts-contacts-service
service=ts-delivery-service,ts-delivery-service
service=ts-execute-service,ts-execute-service
service=ts-food-service,ts-food-service
service=ts-gateway-service,ts-gateway-service
service=ts-inside-payment-service,ts-inside-payment-service
service=ts-news-service,ts-news-service
service=ts-notification-service,ts-notification-service
service=ts-order-other-service,ts-order-other-service
service=ts-order-service,ts-order-service
service=ts-payment-service,ts-payment-service
service=ts-preserve-other-service,ts-preserve-other-service
service=ts-preserve-service,ts-preserve-service
service=ts-price-service,ts-price-service
service=ts-rebook-service,ts-rebook-service
service=ts-route-plan-service,ts-route-plan-service
service=ts-route-service,ts-route-service
service=ts-seat-service,ts-seat-service
service=ts-security-service,ts-security-service
service=ts-station-food-service,ts-station-food-service
service=ts-station-service,ts-station-service
service=ts-ticket-office-service,ts-ticket-office-service
service=ts-train-food-service,ts-train-food-service
service=ts-train-service,ts-train-service
service=ts-travel-plan-service,ts-travel-plan-service
service=ts-travel-service,ts-travel-service
service=ts-travel2-service,ts-travel2-service
service=ts-ui-dashboard,ts-ui-dashboard
service=ts-user-service,ts-user-service
service=ts-verification-code-service,ts-verification-code-service
service=ts-voucher-service,ts-voucher-service
service=tsdb-mysql,tsdb-mysql
service=tsdb-mysql-follower,tsdb-mysql-follower
service=tsdb-mysql-leader,tsdb-mysql-leader
