metric,label_value_pair
container_blkio_device_usage_total,container=config-reloader
container_blkio_device_usage_total,container=coredns
container_blkio_device_usage_total,container=etcd
container_blkio_device_usage_total,container=k8snacos
container_blkio_device_usage_total,container=kube-apiserver
container_blkio_device_usage_total,container=kube-controller-manager
container_blkio_device_usage_total,container=kube-flannel
container_blkio_device_usage_total,container=kube-proxy
container_blkio_device_usage_total,container=kube-scheduler
container_blkio_device_usage_total,container=loki
container_blkio_device_usage_total,container=mysql
container_blkio_device_usage_total,container=node-exporter
container_blkio_device_usage_total,container=opentelemetry-collector
container_blkio_device_usage_total,container=prometheus
container_blkio_device_usage_total,container=promtail
container_blkio_device_usage_total,container=rabbitmq
container_blkio_device_usage_total,container=slowlog
container_blkio_device_usage_total,container=tempo
container_blkio_device_usage_total,container=ts-admin-basic-info-service
container_blkio_device_usage_total,container=ts-admin-route-service
container_blkio_device_usage_total,container=ts-admin-user-service
container_blkio_device_usage_total,container=ts-assurance-service
container_blkio_device_usage_total,container=ts-auth-service
container_blkio_device_usage_total,container=ts-avatar-service
container_blkio_device_usage_total,container=ts-basic-service
container_blkio_device_usage_total,container=ts-config-service
container_blkio_device_usage_total,container=ts-consign-price-service
container_blkio_device_usage_total,container=ts-consign-service
container_blkio_device_usage_total,container=ts-delivery-service
container_blkio_device_usage_total,container=ts-execute-service
container_blkio_device_usage_total,container=ts-gateway-service
container_blkio_device_usage_total,container=ts-order-other-service
container_blkio_device_usage_total,container=ts-order-service
container_blkio_device_usage_total,container=ts-payment-service
container_blkio_device_usage_total,container=ts-preserve-service
container_blkio_device_usage_total,container=ts-price-service
container_blkio_device_usage_total,container=ts-rebook-service
container_blkio_device_usage_total,container=ts-route-plan-service
container_blkio_device_usage_total,container=ts-route-service
container_blkio_device_usage_total,container=ts-station-service
container_blkio_device_usage_total,container=ts-train-food-service
container_blkio_device_usage_total,container=ts-train-service
container_blkio_device_usage_total,container=ts-travel-plan-service
container_blkio_device_usage_total,container=ts-travel2-service
container_blkio_device_usage_total,container=ts-user-service
container_blkio_device_usage_total,container=ts-verification-code-service
container_blkio_device_usage_total,container=xenon
container_blkio_device_usage_total,device=/dev/dm-0
container_blkio_device_usage_total,device=/dev/sda
container_blkio_device_usage_total,endpoint=https-metrics
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod210fbd88_a03d_4c0d_b79b_99b4c79079b2.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod210fbd88_a03d_4c0d_b79b_99b4c79079b2.slice/docker-c66e562efb5457c1dbcf1cbb888c2e1cdc3e98d691ba6676a22e37fbefd7c53d.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod328e61f6_5781_4a40_a0eb_b7b9768503ea.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod328e61f6_5781_4a40_a0eb_b7b9768503ea.slice/docker-9b99632bf94b400d5f75d1823185b134ed4e8464e999d297d192de48797c5492.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod3732a494_0501_4eb8_8da6_2a8043f3dbf2.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod3732a494_0501_4eb8_8da6_2a8043f3dbf2.slice/docker-6712af0d7bed9098c30518cc5281aaa1ebbb45c085f03a9c78a26457c84c9242.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod3ae5d1d5_53bd_4960_a61d_24d87057bef9.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod3ae5d1d5_53bd_4960_a61d_24d87057bef9.slice/docker-9853ad57f4d76a0fe7b87bc177cbbdf71a5b158d423c80197152e61d5565a84e.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod54fb3cda_7d3a_4e8d_bf7e_d889afccce0d.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod54fb3cda_7d3a_4e8d_bf7e_d889afccce0d.slice/docker-bf834559bb1190702e48e54ac76d005c0509a847989b6fb4e8b5e9526debc5b5.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod5584da6c_9689_48c5_b9cb_5fac9df0bec7.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod5584da6c_9689_48c5_b9cb_5fac9df0bec7.slice/docker-6347e5d26932281b186471a4df34a7408f9319116acfa0e52ce45130967c01b7.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod5697aae2_7816_458b_b79f_2c5b9acda3d4.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod5697aae2_7816_458b_b79f_2c5b9acda3d4.slice/docker-b93a8f2709be73e9652f704541a0ddfd883efa1723b12b95c5f1137a103bddd9.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod60589e72_dab1_44ab_9c49_7d8c2e9b13cc.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod60589e72_dab1_44ab_9c49_7d8c2e9b13cc.slice/docker-de4554724a3e45af6b76f73de790e278588a0cc252a426a87678e6d51042cb23.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod75e9046f_6f2f_4839_8a81_299f9e50ee8b.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod75e9046f_6f2f_4839_8a81_299f9e50ee8b.slice/docker-01b1d6b94ef36e51f87e7be88e9585e71c6757f45f844deb34b46b4fa4b0b9cb.scope
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod795c3f37_7577_4a8c_a8ac_60a999b67ae3.slice
container_blkio_device_usage_total,id=/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod795c3f37_7577_4a8c_a8ac_60a999b67ae3.slice/docker-12dca25e79de0c82f597836672484b822fa6a4036ba7a3f911a1ab4564bbfdee.scope
