namespace,deployment
cert-manager,cert-manager
cert-manager,cert-manager-cainjector
cert-manager,cert-manager-webhook
default,rabbitmq
default,ts-admin-basic-info-service
default,ts-admin-order-service
default,ts-admin-route-service
default,ts-admin-travel-service
default,ts-admin-user-service
default,ts-assurance-service
default,ts-auth-service
default,ts-avatar-service
default,ts-basic-service
default,ts-cancel-service
default,ts-config-service
default,ts-consign-price-service
default,ts-consign-service
default,ts-contacts-service
default,ts-delivery-service
default,ts-execute-service
default,ts-food-delivery-service
default,ts-food-service
default,ts-gateway-service
default,ts-inside-payment-service
default,ts-news-service
default,ts-notification-service
default,ts-order-other-service
default,ts-order-service
default,ts-payment-service
default,ts-preserve-other-service
default,ts-preserve-service
default,ts-price-service
default,ts-rebook-service
default,ts-route-plan-service
default,ts-route-service
default,ts-seat-service
default,ts-security-service
default,ts-station-food-service
default,ts-station-service
default,ts-ticket-office-service
default,ts-train-food-service
default,ts-train-service
default,ts-travel-plan-service
default,ts-travel-service
default,ts-travel2-service
default,ts-ui-dashboard
default,ts-user-service
default,ts-verification-code-service
default,ts-voucher-service
default,ts-wait-order-service
kube-system,coredns
obs,otelcol-opentelemetry-collector
obs,prometheus-kube-prometheus-operator
obs,prometheus-kube-state-metrics
opentelemetry-operator-system,opentelemetry-operator-controller-manager
