namespace,pod
cert-manager,cert-manager-67459fb8df-scrdx
cert-manager,cert-manager-cainjector-75b8b97c87-7nns6
cert-manager,cert-manager-webhook-64d775b48f-vlmc9
default,nacos-0
default,nacos-1
default,nacos-2
default,nacosdb-mysql-0
default,nacosdb-mysql-1
default,nacosdb-mysql-2
default,rabbitmq-7dffdd7bb8-5v4q6
default,ts-admin-basic-info-service-768df9d645-49bxh
default,ts-admin-basic-info-service-768df9d645-6rfmc
default,ts-admin-order-service-68f76f4775-pfq9j
default,ts-admin-order-service-68f76f4775-r4tgh
default,ts-admin-route-service-5b57ff6d57-kcqr5
default,ts-admin-route-service-5b57ff6d57-rzffz
default,ts-admin-travel-service-65f99666b6-rwjx5
default,ts-admin-travel-service-65f99666b6-tlgp6
default,ts-admin-user-service-7d94ff5bc6-66ccv
default,ts-admin-user-service-7d94ff5bc6-pcf7v
default,ts-assurance-service-75857d4f45-b28xp
default,ts-assurance-service-75857d4f45-mjmvt
default,ts-auth-service-6f695b66dc-8xx85
default,ts-auth-service-6f695b66dc-rqt7m
default,ts-avatar-service-7d66bbcfb8-r8q2w
default,ts-avatar-service-7d66bbcfb8-sczmm
default,ts-basic-service-6f7d85c664-lkwnv
default,ts-basic-service-6f7d85c664-p9vcx
default,ts-cancel-service-74d57dff8d-dz4hz
default,ts-cancel-service-74d57dff8d-hlmr2
default,ts-config-service-56756cd4b7-6hmbl
default,ts-config-service-56756cd4b7-kxz4r
default,ts-consign-price-service-756469f8f9-h5crm
default,ts-consign-price-service-756469f8f9-rf8vj
default,ts-consign-service-57dff95494-klmwp
default,ts-consign-service-57dff95494-n4j2z
default,ts-contacts-service-7598b8f96f-qqxqm
default,ts-contacts-service-7598b8f96f-x64xc
default,ts-delivery-service-796698457f-p6887
default,ts-delivery-service-796698457f-zqrkr
default,ts-execute-service-76584dd465-96d4p
default,ts-execute-service-76584dd465-c7628
default,ts-food-delivery-service-6446cc9999-bvlgd
default,ts-food-delivery-service-6446cc9999-hqh4c
default,ts-food-service-66f9498cdf-l826t
default,ts-food-service-66f9498cdf-xf27r
default,ts-gateway-service-6f99b4b794-m7t6b
default,ts-gateway-service-6f99b4b794-txqfb
default,ts-inside-payment-service-5d897577cc-4zn5m
default,ts-inside-payment-service-5d897577cc-v7hqm
default,ts-news-service-867fc4cb4f-xd62r
default,ts-news-service-867fc4cb4f-zlnt6
default,ts-notification-service-54b94867b9-ddfvc
default,ts-notification-service-54b94867b9-k4qbq
default,ts-order-other-service-599787b58b-48p9p
default,ts-order-other-service-599787b58b-k9lr8
default,ts-order-service-5cffbb94fd-9k6vs
default,ts-order-service-5cffbb94fd-tqpsq
default,ts-payment-service-bcd86c6d7-h2kfz
default,ts-payment-service-bcd86c6d7-lrq7v
default,ts-preserve-other-service-b89f79469-6t9bs
default,ts-preserve-other-service-b89f79469-t7n9k
default,ts-preserve-service-f67995894-27flb
default,ts-preserve-service-f67995894-gc5qw
default,ts-price-service-7c9648f9dc-jr7g6
default,ts-price-service-7c9648f9dc-t8wk4
default,ts-rebook-service-9b757b65-cjsrz
default,ts-rebook-service-9b757b65-wncfw
default,ts-route-plan-service-55ffcdf865-hbkmh
default,ts-route-plan-service-55ffcdf865-tpc98
default,ts-route-service-54d744ccc9-2t4gh
default,ts-route-service-54d744ccc9-6nwqm
default,ts-seat-service-5b97bc9fb5-fj26r
default,ts-seat-service-5b97bc9fb5-jxr6j
default,ts-security-service-6cfbd5679-h46xv
default,ts-security-service-6cfbd5679-w44vz
default,ts-station-food-service-b974d49f7-9kh6g
default,ts-station-food-service-b974d49f7-m82zg
default,ts-station-service-69dd95ff9d-92mnb
default,ts-station-service-69dd95ff9d-rnzmz
default,ts-ticket-office-service-5ccb5477cf-4gmjc
default,ts-ticket-office-service-5ccb5477cf-gqpcg
default,ts-train-food-service-6cc445bdd5-cgng6
default,ts-train-food-service-6cc445bdd5-h4zbm
default,ts-train-service-c8696bf95-bv5t9
default,ts-train-service-c8696bf95-mg4kb
default,ts-travel-plan-service-6b59d578db-mxmgq
default,ts-travel-plan-service-6b59d578db-n7qck
default,ts-travel-service-c598b7879-6mllj
default,ts-travel-service-c598b7879-bb7s2
default,ts-travel2-service-7ccf6c966f-228fh
default,ts-travel2-service-7ccf6c966f-h5mmq
default,ts-ui-dashboard-546ff59599-6dpsx
default,ts-user-service-5fc7759cf4-b8hlk
default,ts-user-service-5fc7759cf4-kgg9s
default,ts-verification-code-service-6445455b6c-9mnnz
default,ts-verification-code-service-6445455b6c-l7vxt
default,ts-voucher-service-66786949b4-8l97n
default,ts-voucher-service-66786949b4-gldl5
default,ts-wait-order-service-d96db497b-896kd
default,ts-wait-order-service-d96db497b-f9lhl
default,tsdb-mysql-0
default,tsdb-mysql-1
default,tsdb-mysql-2
kube-flannel,kube-flannel-ds-2km2c
kube-flannel,kube-flannel-ds-6zgn6
kube-flannel,kube-flannel-ds-j8xlm
kube-flannel,kube-flannel-ds-n5zd8
kube-flannel,kube-flannel-ds-nn7xq
kube-flannel,kube-flannel-ds-zblf5
kube-system,coredns-558bd4d5db-blf7l
kube-system,coredns-558bd4d5db-qw6j2
kube-system,etcd-k8s-master
kube-system,kube-apiserver-k8s-master
kube-system,kube-controller-manager-k8s-master
kube-system,kube-proxy-277dm
kube-system,kube-proxy-5g4mz
kube-system,kube-proxy-crfd5
kube-system,kube-proxy-hxs5h
kube-system,kube-proxy-xv697
kube-system,kube-proxy-z7dx5
kube-system,kube-scheduler-k8s-master
obs,alertmanager-prometheus-kube-prometheus-alertmanager-0
obs,loki-0
obs,loki-promtail-jsf7b
obs,loki-promtail-sl5mq
obs,loki-promtail-x2qwc
obs,loki-promtail-z5x7x
obs,loki-promtail-zc75c
obs,loki-promtail-zfhsm
obs,otelcol-opentelemetry-collector-84d9789ddb-2s6tt
obs,otelcol-opentelemetry-collector-84d9789ddb-8ghcp
obs,otelcol-opentelemetry-collector-84d9789ddb-bx8vq
obs,otelcol-opentelemetry-collector-84d9789ddb-dh77j
obs,otelcol-opentelemetry-collector-84d9789ddb-hgdq5
obs,otelcol-opentelemetry-collector-84d9789ddb-phrkl
obs,prometheus-kube-prometheus-operator-bbb4b878f-dmjgq
obs,prometheus-kube-state-metrics-6dd9d4d94f-pm8k4
