namespace,replicaset
cert-manager,cert-manager-67459fb8df
cert-manager,cert-manager-cainjector-75b8b97c87
cert-manager,cert-manager-webhook-64d775b48f
default,rabbitmq-7dffdd7bb8
default,ts-admin-basic-info-service-768df9d645
default,ts-admin-order-service-68f76f4775
default,ts-admin-route-service-5b57ff6d57
default,ts-admin-travel-service-65f99666b6
default,ts-admin-user-service-7d94ff5bc6
default,ts-assurance-service-75857d4f45
default,ts-auth-service-6f695b66dc
default,ts-avatar-service-7d66bbcfb8
default,ts-basic-service-6f7d85c664
default,ts-cancel-service-74d57dff8d
default,ts-config-service-56756cd4b7
default,ts-consign-price-service-756469f8f9
default,ts-consign-service-57dff95494
default,ts-contacts-service-7598b8f96f
default,ts-delivery-service-796698457f
default,ts-execute-service-76584dd465
default,ts-food-delivery-service-6446cc9999
default,ts-food-service-66f9498cdf
default,ts-gateway-service-6f99b4b794
default,ts-inside-payment-service-5d897577cc
default,ts-news-service-867fc4cb4f
default,ts-notification-service-54b94867b9
default,ts-order-other-service-599787b58b
default,ts-order-service-5cffbb94fd
default,ts-payment-service-bcd86c6d7
default,ts-preserve-other-service-b89f79469
default,ts-preserve-service-f67995894
default,ts-price-service-7c9648f9dc
default,ts-rebook-service-9b757b65
default,ts-route-plan-service-55ffcdf865
default,ts-route-service-54d744ccc9
default,ts-seat-service-5b97bc9fb5
default,ts-security-service-6cfbd5679
default,ts-station-food-service-b974d49f7
default,ts-station-service-69dd95ff9d
default,ts-ticket-office-service-5ccb5477cf
default,ts-train-food-service-6cc445bdd5
default,ts-train-service-c8696bf95
default,ts-travel-plan-service-6b59d578db
default,ts-travel-service-c598b7879
default,ts-travel2-service-7ccf6c966f
default,ts-ui-dashboard-546ff59599
default,ts-user-service-5fc7759cf4
default,ts-verification-code-service-6445455b6c
default,ts-voucher-service-66786949b4
default,ts-wait-order-service-d96db497b
kube-system,coredns-558bd4d5db
obs,otelcol-opentelemetry-collector-84d9789ddb
obs,prometheus-kube-prometheus-operator-bbb4b878f
obs,prometheus-kube-state-metrics-6dd9d4d94f
opentelemetry-operator-system,opentelemetry-operator-controller-manager-7bfb68fcc4
