namespace,service
cert-manager,cert-manager
cert-manager,cert-manager-webhook
default,kubernetes
default,nacos
default,nacos-headless
default,nacosdb-mysql
default,nacosdb-mysql-follower
default,nacosdb-mysql-leader
default,rabbitmq
default,ts-admin-basic-info-service
default,ts-admin-order-service
default,ts-admin-route-service
default,ts-admin-travel-service
default,ts-admin-user-service
default,ts-assurance-service
default,ts-auth-service
default,ts-avatar-service
default,ts-basic-service
default,ts-cancel-service
default,ts-config-service
default,ts-consign-price-service
default,ts-consign-service
default,ts-contacts-service
default,ts-delivery-service
default,ts-execute-service
default,ts-food-service
default,ts-gateway-service
default,ts-inside-payment-service
default,ts-news-service
default,ts-notification-service
default,ts-order-other-service
default,ts-order-service
default,ts-payment-service
default,ts-preserve-other-service
default,ts-preserve-service
default,ts-price-service
default,ts-rebook-service
default,ts-route-plan-service
default,ts-route-service
default,ts-seat-service
default,ts-security-service
default,ts-station-food-service
default,ts-station-service
default,ts-ticket-office-service
default,ts-train-food-service
default,ts-train-service
default,ts-travel-plan-service
default,ts-travel-service
default,ts-travel2-service
default,ts-ui-dashboard
default,ts-user-service
default,ts-verification-code-service
default,ts-voucher-service
default,tsdb-mysql
default,tsdb-mysql-follower
default,tsdb-mysql-leader
kube-system,kube-dns
kube-system,prometheus-kube-prometheus-coredns
kube-system,prometheus-kube-prometheus-kube-controller-manager
kube-system,prometheus-kube-prometheus-kube-etcd
kube-system,prometheus-kube-prometheus-kube-proxy
kube-system,prometheus-kube-prometheus-kube-scheduler
kube-system,prometheus-kube-prometheus-kubelet
obs,alertmanager-operated
obs,loki
obs,loki-headless
obs,loki-memberlist
obs,otelcol-opentelemetry-collector
obs,prometheus-kube-prometheus-alertmanager
obs,prometheus-kube-prometheus-operator
obs,prometheus-kube-prometheus-prometheus
obs,prometheus-kube-state-metrics
obs,prometheus-operated
obs,prometheus-prometheus-node-exporter
obs,tempo
opentelemetry-operator-system,opentelemetry-operator-controller-manager-metrics-service
opentelemetry-operator-system,opentelemetry-operator-webhook-service
