node,pod
k8s-master,etcd-k8s-master
k8s-master,kube-apiserver-k8s-master
k8s-master,kube-controller-manager-k8s-master
k8s-master,kube-flannel-ds-nn7xq
k8s-master,kube-proxy-5g4mz
k8s-master,kube-scheduler-k8s-master
k8s-master,loki-promtail-zc75c
k8s-master,prometheus-prometheus-node-exporter-6gwxh
k8s-node1,cert-manager-webhook-64d775b48f-vlmc9
k8s-node1,kube-flannel-ds-6zgn6
k8s-node1,kube-proxy-277dm
k8s-node1,loki-promtail-jsf7b
k8s-node1,nacosdb-mysql-2
k8s-node1,otelcol-opentelemetry-collector-84d9789ddb-dh77j
k8s-node1,prometheus-prometheus-node-exporter-zv29v
k8s-node1,tempo-0
k8s-node1,ts-admin-basic-info-service-768df9d645-49bxh
k8s-node1,ts-admin-order-service-68f76f4775-pfq9j
k8s-node1,ts-admin-order-service-68f76f4775-r4tgh
k8s-node1,ts-basic-service-6f7d85c664-lkwnv
k8s-node1,ts-basic-service-6f7d85c664-p9vcx
k8s-node1,ts-config-service-56756cd4b7-6hmbl
k8s-node1,ts-config-service-56756cd4b7-kxz4r
k8s-node1,ts-contacts-service-7598b8f96f-qqxqm
k8s-node1,ts-delivery-service-796698457f-p6887
k8s-node1,ts-delivery-service-796698457f-zqrkr
k8s-node1,ts-execute-service-76584dd465-c7628
k8s-node1,ts-news-service-867fc4cb4f-xd62r
k8s-node1,ts-payment-service-bcd86c6d7-lrq7v
k8s-node1,ts-preserve-service-f67995894-27flb
k8s-node1,ts-route-plan-service-55ffcdf865-hbkmh
k8s-node1,ts-route-plan-service-55ffcdf865-tpc98
k8s-node1,ts-seat-service-5b97bc9fb5-fj26r
k8s-node1,ts-station-food-service-b974d49f7-m82zg
k8s-node1,ts-travel-service-c598b7879-6mllj
k8s-node1,ts-voucher-service-66786949b4-gldl5
k8s-node2,coredns-558bd4d5db-blf7l
k8s-node2,kube-flannel-ds-zblf5
k8s-node2,kube-proxy-hxs5h
k8s-node2,loki-promtail-z5x7x
k8s-node2,nacos-0
k8s-node2,nacos-1
