service,api
ts-admin-basic-info-service,DELETE /api/v1/adminbasicservice/adminbasic/configs/{name}
ts-admin-basic-info-service,DELETE /api/v1/adminbasicservice/adminbasic/contacts/{contactsId}
ts-admin-basic-info-service,DELETE /api/v1/adminbasicservice/adminbasic/prices/{pricesId}
ts-admin-basic-info-service,DELETE /api/v1/adminbasicservice/adminbasic/stations/{id}
ts-admin-basic-info-service,GET /api/v1/adminbasicservice/adminbasic/configs
ts-admin-basic-info-service,GET /api/v1/adminbasicservice/adminbasic/contacts
ts-admin-basic-info-service,GET /api/v1/adminbasicservice/adminbasic/prices
ts-admin-basic-info-service,GET /api/v1/adminbasicservice/adminbasic/stations
ts-admin-basic-info-service,GET /api/v1/adminbasicservice/adminbasic/trains
ts-admin-basic-info-service,POST /api/v1/adminbasicservice/adminbasic/configs
ts-admin-basic-info-service,POST /api/v1/adminbasicservice/adminbasic/contacts
ts-admin-basic-info-service,POST /api/v1/adminbasicservice/adminbasic/prices
ts-admin-basic-info-service,POST /api/v1/adminbasicservice/adminbasic/stations
ts-admin-basic-info-service,PUT /api/v1/adminbasicservice/adminbasic/configs
ts-admin-basic-info-service,PUT /api/v1/adminbasicservice/adminbasic/contacts
ts-admin-basic-info-service,PUT /api/v1/adminbasicservice/adminbasic/prices
ts-admin-basic-info-service,PUT /api/v1/adminbasicservice/adminbasic/stations
ts-admin-order-service,DELETE /api/v1/adminorderservice/adminorder/{orderId}/{trainNumber}
ts-admin-order-service,GET /api/v1/adminorderservice/adminorder
ts-admin-route-service,DELETE /api/v1/adminrouteservice/adminroute/{routeId}
ts-admin-route-service,GET /api/v1/adminrouteservice/adminroute
ts-admin-route-service,POST /api/v1/adminrouteservice/adminroute
ts-admin-travel-service,DELETE /api/v1/admintravelservice/admintravel/{tripId}
ts-admin-travel-service,GET /api/v1/admintravelservice/admintravel
ts-admin-travel-service,POST /api/v1/admintravelservice/admintravel
ts-admin-travel-service,PUT /api/v1/admintravelservice/admintravel
ts-admin-user-service,DELETE /api/v1/adminuserservice/users/{userId}
ts-admin-user-service,GET /api/v1/adminuserservice/users
ts-admin-user-service,POST /api/v1/adminuserservice/users
ts-admin-user-service,PUT /api/v1/adminuserservice/users
ts-assurance-service,GET /api/v1/assuranceservice/assurances/types
ts-assurance-service,GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId}
ts-auth-service,DELETE /api/v1/users/{userId}
ts-auth-service,POST /api/v1/auth
ts-auth-service,POST /api/v1/users/login
ts-basic-service,POST /api/v1/basicservice/basic/travel
ts-basic-service,POST /api/v1/basicservice/basic/travels
ts-cancel-service,GET /api/v1/cancelservice/cancel/refound/{orderId}
ts-cancel-service,GET /api/v1/cancelservice/cancel/{orderId}/{loginId}
ts-config-service,DELETE /api/v1/configservice/configs/{configName}
ts-config-service,GET /api/v1/configservice/configs
ts-config-service,GET /api/v1/configservice/configs/{configName}
ts-config-service,POST /api/v1/configservice/configs
ts-config-service,PUT /api/v1/configservice/configs
ts-consign-price-service,GET /api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion}
ts-consign-service,GET /api/v1/consignservice/consigns/account/{id}
ts-consign-service,GET /api/v1/consignservice/consigns/order/{id}
ts-consign-service,GET /api/v1/consignservice/consigns/{consignee}
ts-consign-service,POST /api/v1/consignservice/consigns
ts-consign-service,PUT /api/v1/consignservice/consigns
ts-contacts-service,DELETE /api/v1/contactservice/contacts/{contactsId}
ts-contacts-service,GET /api/v1/contactservice/contacts
ts-contacts-service,GET /api/v1/contactservice/contacts/account/{accountId}
ts-contacts-service,GET /api/v1/contactservice/contacts/{id}
ts-contacts-service,POST /api/v1/contactservice/contacts
ts-contacts-service,POST /api/v1/contactservice/contacts/admin
ts-contacts-service,PUT /api/v1/contactservice/contacts
ts-execute-service,GET /api/v1/executeservice/execute/collected/{orderId}
ts-execute-service,GET /api/v1/executeservice/execute/execute/{orderId}
ts-food-service,GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}
ts-food-service,POST /api/v1/foodservice/createOrderBatch
ts-inside-payment-service,GET /api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money}
ts-inside-payment-service,GET /api/v1/inside_pay_service/inside_payment/{userId}/{money}
ts-inside-payment-service,POST /api/v1/inside_pay_service/inside_payment
ts-inside-payment-service,POST /api/v1/inside_pay_service/inside_payment/difference
ts-order-other-service,DELETE /api/v1/orderOtherService/orderOther/{orderId}
ts-order-other-service,GET /api/v1/orderOtherService/orderOther
ts-order-other-service,GET /api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
ts-order-other-service,GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}
ts-order-other-service,GET /api/v1/orderOtherService/orderOther/{orderId}
ts-order-other-service,POST /api/v1/orderOtherService/orderOther
ts-order-other-service,POST /api/v1/orderOtherService/orderOther/refresh
ts-order-other-service,POST /api/v1/orderOtherService/orderOther/tickets
ts-order-other-service,PUT /api/v1/orderOtherService/orderOther
ts-order-service,DELETE /api/v1/orderservice/order/{orderId}
ts-order-service,GET /api/v1/orderservice/order
ts-order-service,GET /api/v1/orderservice/order/security/{checkDate}/{accountId}
ts-order-service,GET /api/v1/orderservice/order/status/{orderId}/{status}
ts-order-service,GET /api/v1/orderservice/order/{orderId}
ts-order-service,POST /api/v1/orderservice/order
ts-order-service,POST /api/v1/orderservice/order/refresh
ts-order-service,POST /api/v1/orderservice/order/tickets
ts-order-service,PUT /api/v1/orderservice/order
ts-payment-service,POST /api/v1/paymentservice/payment
ts-preserve-other-service,POST /api/v1/preserveotherservice/preserveOther
ts-preserve-service,POST /api/v1/preserveservice/preserve
ts-price-service,DELETE /api/v1/priceservice/prices/{pricesId}
ts-price-service,GET /api/v1/priceservice/prices
ts-price-service,GET /api/v1/priceservice/prices/{routeId}/{trainType}
ts-price-service,POST /api/v1/priceservice/prices
ts-price-service,POST /api/v1/priceservice/prices/byRouteIdsAndTrainTypes
ts-price-service,PUT /api/v1/priceservice/prices
ts-rebook-service,POST /api/v1/rebookservice/rebook
ts-rebook-service,POST /api/v1/rebookservice/rebook/difference
ts-route-plan-service,POST /api/v1/routeplanservice/routePlan/cheapestRoute
ts-route-plan-service,POST /api/v1/routeplanservice/routePlan/minStopStations
ts-route-plan-service,POST /api/v1/routeplanservice/routePlan/quickestRoute
